ALLSKY_SFC_SW_DWN,T2M,TEMP_7DAY_AVG,SOLAR_7DAY_AVG,Performance_Ratio,Actual,Predicted,Anomaly_Probability,Maintenance_Status,Health_Index,Severity_Score,Recommended_Action,Maintenance_Priority,Expected_kWh,Energy_Loss_kWh,Revenue_Loss_INR,Estimated_Performance_Loss_%,Maintenance_Due,Next_Inspection_Window,Fault_Streak,Probable_Root_Cause
5.7214,16.46,19.53142857142857,6.442742857142858,4.893907085678331,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,21.244558319914002,0.2124455831991412,2.12,1.0,NO,Routine monthly check,0,Normal environmental variation
7.0106,17.75,19.78,6.4632,4.279234302342167,0,0,0.07666666666666666,HEALTHY,92.33,7.7,System operating normally,LOW,26.59704836693778,2.0399936097441262,20.4,7.67,NO,Routine monthly check,0,Normal environmental variation
8.2704,21.43,20.42,6.595371428571428,3.5064809440897657,0,0,0.21,HEALTHY,79.0,21.0,System operating normally,LOW,31.186543657039465,6.549174167978286,65.49,21.0,NO,Routine monthly check,0,Normal environmental variation
6.9974,19.45,20.215714285714284,6.588471428571429,4.144396490124904,0,0,0.07,HEALTHY,93.0,7.0,System operating normally,LOW,26.77470959131991,1.874229671392392,18.74,7.0,NO,Routine monthly check,0,Normal environmental variation
6.5239,17.78,19.392857142857142,6.555171428571429,4.13862873434602,0,0,0.023333333333333334,HEALTHY,97.67,2.3,System operating normally,LOW,25.340923265238594,0.5904435120800606,5.9,2.33,NO,Routine monthly check,0,Normal environmental variation
7.4292,16.71,18.354285714285712,6.6630714285714285,3.634307866257471,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,28.793500013308982,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
6.5076,15.37,17.849999999999998,6.922928571428572,3.226996127604647,0,0,0.016666666666666666,HEALTHY,98.33,1.7,System operating normally,LOW,24.6883277883983,0.4122950740662539,4.12,1.67,NO,Routine monthly check,0,Normal environmental variation
7.4165,16.5,17.85571428571429,7.1650857142857145,3.2360277759050766,0,0,0.02,HEALTHY,98.0,2.0,System operating normally,LOW,28.36008697923997,0.5672017395847995,5.67,2.0,NO,Routine monthly check,0,Normal environmental variation
7.044,17.64,17.84,7.169857142857143,3.691084611016468,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,26.584857116494703,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
3.4226,16.18,17.09,6.477314285714286,7.01221293753287,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,13.5630818302865,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
4.8449,14.72,16.414285714285715,6.169814285714286,3.5088443517926065,0,0,0.03,HEALTHY,97.0,3.0,System operating normally,LOW,19.12128552751689,0.5736385658255081,5.74,3.0,NO,Routine monthly check,0,Normal environmental variation
4.7518,14.4,15.931428571428572,5.916657142857143,4.629824487562607,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,18.789496625092422,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
6.5609,15.61,15.774285714285714,5.792614285714286,2.2862717005288906,1,1,0.9866666666666667,MAINTENANCE REQUIRED,1.33,98.7,Immediate panel cleaning and inspection,HIGH,25.697093849241412,25.3553225010465,253.55,98.67,YES,Within 24 hours,1,Normal environmental variation
2.1026,15.6,15.80714285714286,5.163328571428571,8.085227813183678,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,8.649771542696964,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
3.7258,17.69,15.977142857142857,4.636085714285714,3.220784797895754,0,0,0.023333333333333334,HEALTHY,97.67,2.3,System operating normally,LOW,15.378383706497624,0.3583163403613945,3.58,2.33,NO,Routine monthly check,0,Normal environmental variation
3.7356,17.23,15.918571428571427,4.163457142857143,6.156976121640433,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,15.232054616943403,0.05026578023591277,0.5,0.33,NO,Routine monthly check,0,Normal environmental variation
4.0699,16.82,16.01,4.255928571428571,4.914125654192978,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,16.818749327969005,0.16818749327968874,1.68,1.0,NO,Routine monthly check,0,Normal environmental variation
4.2134,15.96,16.187142857142856,4.1657142857142855,2.848056201642379,1,1,0.6833333333333333,INSPECTION ADVISED,31.67,68.3,Schedule preventive maintenance,MEDIUM,17.33037347660466,11.841844196563963,118.42,68.33,YES,Within 7 days,1,Normal environmental variation
3.4877,15.74,16.37857142857143,3.985128571428572,3.727384809473292,0,0,0.08666666666666667,HEALTHY,91.33,8.7,System operating normally,LOW,14.07594125124499,1.2203841064829408,12.2,8.67,NO,Routine monthly check,0,Normal environmental variation
4.092,16.25,16.47,3.632428571428572,2.19941348973607,1,1,0.9833333333333333,MAINTENANCE REQUIRED,1.67,98.3,Immediate panel cleaning and inspection,HIGH,16.389948189088425,16.11623605433065,161.16,98.33,YES,Within 24 hours,1,Normal environmental variation
6.5885,18.56,16.892857142857142,4.273271428571428,3.0355923199514305,0,0,0.09666666666666666,HEALTHY,90.33,9.7,System operating normally,LOW,26.423723759193425,2.555174087514004,25.55,9.67,NO,Routine monthly check,0,Normal environmental variation
4.025,18.37,16.990000000000002,4.316014285714286,4.968944099378882,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,16.313921750297805,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
5.351,19.33,17.29,4.546785714285714,1.8688095683049897,1,1,0.97,MAINTENANCE REQUIRED,3.0,97.0,Immediate panel cleaning and inspection,HIGH,20.966105733068957,20.33712256107689,203.37,97.0,YES,Within 24 hours,1,Normal environmental variation
3.5018,19.25,17.637142857142855,4.465628571428572,4.854646181963562,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,13.940041330404586,0.09339827691371205,0.93,0.67,NO,Routine monthly check,0,Normal environmental variation
6.6847,18.51,18.001428571428573,4.818671428571428,3.141502236450401,0,0,0.08,HEALTHY,92.0,8.0,System operating normally,LOW,26.726561002613934,2.138124880209112,21.38,8.0,NO,Routine monthly check,0,Normal environmental variation
6.3499,19.51,18.54,5.227557142857143,3.4646214901022065,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,25.314443881111306,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
7.4849,22.78,19.472857142857144,5.712257142857142,3.473660302742856,0,0,0.056666666666666664,HEALTHY,94.33,5.7,System operating normally,LOW,29.82060957929732,1.6908285631461588,16.91,5.67,NO,Routine monthly check,0,Normal environmental variation
6.6144,24.53,20.325714285714287,5.715957142857143,4.08200290275762,0,0,0.023333333333333334,HEALTHY,97.67,2.3,System operating normally,LOW,26.599850956179115,0.6197765272789724,6.2,2.33,NO,Routine monthly check,0,Normal environmental variation
6.4332,26.11,21.43142857142857,6.059985714285714,3.730647267300877,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,25.964268993493167,0.08568208767852781,0.86,0.33,NO,Routine monthly check,0,Normal environmental variation
6.3499,25.62,22.33,6.202685714285714,3.622104285106852,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,25.311276480091763,0.0835272123843005,0.84,0.33,NO,Routine monthly check,0,Normal environmental variation
5.3858,23.72,22.96857142857143,6.471828571428572,3.899142188718482,0,0,0.07,HEALTHY,93.0,7.0,System operating normally,LOW,21.289699740094758,1.4902789818066324,14.9,7.0,NO,Routine monthly check,0,Normal environmental variation
4.1652,21.11,23.34,6.1119,0.7202535292422934,1,1,0.8466666666666667,MAINTENANCE REQUIRED,15.33,84.7,Immediate panel cleaning and inspection,HIGH,15.970622373424096,13.522325963578183,135.22,84.67,YES,Within 24 hours,1,Normal environmental variation
6.565,20.64,23.501428571428573,6.142628571428571,2.1325209444021325,1,1,0.9,MAINTENANCE REQUIRED,10.0,90.0,Immediate panel cleaning and inspection,HIGH,24.871504969940922,22.38435447294683,223.84,90.0,YES,Within 24 hours,2,Normal environmental variation
6.3643,21.84,23.367142857142856,5.982542857142858,2.3568970664487847,1,1,0.8833333333333333,MAINTENANCE REQUIRED,11.67,88.3,Immediate panel cleaning and inspection,HIGH,23.73194685836177,20.96242865999095,209.62,88.33,YES,Within 24 hours,3,Normal environmental variation
3.6857,18.53,22.51,5.564157142857143,5.697696502699623,0,0,0.016666666666666666,HEALTHY,98.33,1.7,System operating normally,LOW,13.935211484931768,0.23271803179836148,2.33,1.67,NO,Routine monthly check,0,Normal environmental variation
4.2346,18.8,21.465714285714284,5.250071428571429,3.5422472016247104,0,0,0.02666666666666667,HEALTHY,97.33,2.7,System operating normally,LOW,15.99754513390831,0.4271344550753522,4.27,2.67,NO,Routine monthly check,0,Normal environmental variation
3.9226,19.08,20.53142857142857,4.903314285714286,3.823994289501861,0,0,0.013333333333333334,HEALTHY,98.67,1.3,System operating normally,LOW,14.896925636314453,0.19812911096298258,1.98,1.33,NO,Routine monthly check,0,Normal environmental variation
3.5762,18.92,19.845714285714287,4.644800000000001,6.151781220289693,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,13.928973634127507,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
5.0566,20.34,19.735714285714288,4.772142857142858,1.3843293912905903,1,1,0.9833333333333333,MAINTENANCE REQUIRED,1.67,98.3,Immediate panel cleaning and inspection,HIGH,19.306185664543428,18.98377236394555,189.84,98.33,YES,Within 24 hours,1,Normal environmental variation
5.063,20.42,19.704285714285717,4.557571428571429,3.3576930673513727,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,18.713859837727867,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
5.5279,19.45,19.36285714285714,4.438085714285714,3.0753088876426853,0,0,0.09666666666666666,HEALTHY,90.33,9.7,System operating normally,LOW,20.352338457991255,1.968071128887754,19.68,9.67,NO,Routine monthly check,0,Normal environmental variation
5.7562,19.16,19.452857142857145,4.733871428571429,2.9533372711163617,0,1,0.5533333333333333,INSPECTION ADVISED,44.67,55.3,Schedule preventive maintenance,MEDIUM,20.871208488226554,11.548039656535751,115.48,55.33,YES,Within 7 days,1,Normal environmental variation
6.0526,19.36,19.532857142857143,4.9935857142857145,3.469583319565145,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,22.18465216302968,0.1486371694923001,1.49,0.67,NO,Routine monthly check,0,Normal environmental variation
1.9606,20.21,19.69428571428572,4.713299999999999,10.711006834642458,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,7.357809179556413,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
4.956,20.07,19.858571428571427,4.910414285714286,2.2195318805488293,1,1,0.9833333333333333,MAINTENANCE REQUIRED,1.67,98.3,Immediate panel cleaning and inspection,HIGH,18.43364549886709,18.12580361903601,181.26,98.33,YES,Within 24 hours,1,Normal environmental variation
4.4866,18.93,19.65714285714285,4.828985714285714,4.680604466633977,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,16.466934507927878,0.05434088387616143,0.54,0.33,NO,Routine monthly check,0,Normal environmental variation
3.9722,16.69,19.124285714285715,4.673157142857143,3.2727455817934645,0,0,0.02,HEALTHY,98.0,2.0,System operating normally,LOW,14.361629291969976,0.2872325858393996,2.87,2.0,NO,Routine monthly check,0,Normal environmental variation
4.5732,15.83,18.607142857142858,4.536771428571429,2.405317939298522,1,1,0.96,MAINTENANCE REQUIRED,4.0,96.0,Immediate panel cleaning and inspection,HIGH,16.46707498252004,15.808391983219238,158.08,96.0,YES,Within 24 hours,1,Normal environmental variation
4.4297,16.84,18.275714285714287,4.347271428571429,3.160484908684561,0,0,0.06333333333333334,HEALTHY,93.67,6.3,System operating normally,LOW,15.866656882938331,1.004359380689996,10.04,6.33,NO,Routine monthly check,0,Normal environmental variation
3.75,17.76,18.047142857142852,4.018328571428572,3.2,0,0,0.13333333333333333,HEALTHY,86.67,13.3,System operating normally,LOW,13.557125893194403,1.807164881562814,18.07,13.33,NO,Routine monthly check,0,Normal environmental variation
4.2319,17.83,17.70714285714286,4.3428,3.0719062359696587,0,0,0.07,HEALTHY,93.0,7.0,System operating normally,LOW,15.304429513349092,1.0713100659344352,10.71,7.0,NO,Routine monthly check,0,Normal environmental variation
3.7039,18.34,17.46,4.163928571428571,3.779799670617457,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,13.248131327675747,0.13248131327675772,1.32,1.0,NO,Routine monthly check,0,Normal environmental variation
3.3588,17.24,17.218571428571426,4.002814285714286,1.488626890556151,1,1,0.9666666666666667,MAINTENANCE REQUIRED,3.33,96.7,Immediate panel cleaning and inspection,HIGH,11.971210363208876,11.57256905811402,115.73,96.67,YES,Within 24 hours,1,Normal environmental variation
5.1307,17.46,17.32857142857143,4.168314285714286,2.923577679458943,0,0,0.2733333333333333,HEALTHY,72.67,27.3,System operating normally,LOW,17.95624008731474,4.9074404158631175,49.07,27.33,NO,Routine monthly check,0,Normal environmental variation
5.1862,16.76,17.46142857142857,4.255885714285714,2.8922910801743087,0,0,0.3233333333333333,HEALTHY,67.67,32.3,System operating normally,LOW,18.107395036112674,5.854120815175229,58.54,32.33,NO,Routine monthly check,0,Normal environmental variation
5.1367,17.33,17.53142857142857,4.356885714285714,4.282905367259135,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,18.07467720058354,0.18074677200583622,1.81,1.0,NO,Routine monthly check,0,Normal environmental variation
5.7869,17.37,17.475714285714286,4.647871428571428,3.8016900240197686,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,20.42583341413113,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
5.58,19.13,17.66142857142857,4.840457142857143,4.301075268817204,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,19.736292648504318,0.13223316074498115,1.32,0.67,NO,Routine monthly check,0,Normal environmental variation
5.9422,20.49,17.96857142857143,5.160214285714285,3.702332469455757,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,21.011774779260907,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
5.6729,22.18,18.674285714285716,5.4908,3.878087045426501,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,20.10792841512258,0.06635616376990328,0.66,0.33,NO,Routine monthly check,0,Normal environmental variation
5.3086,23.28,19.505714285714284,5.516214285714286,3.7674716497758354,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,18.793346052230543,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
